"","nom_ent","mun","nom_mun","loc","ageb","p_15a49_f"
"130","México",106,"Toluca",1,"3227",715
"131","México",106,"Toluca",1,"3231",1223
"132","México",106,"Toluca",1,"3246",623
"133","México",106,"Toluca",1,"3250",530
"134","México",106,"Toluca",1,"3265",291
"135","México",106,"Toluca",1,"327A",2222
"136","México",106,"Toluca",1,"3284",1224
"137","México",106,"Toluca",1,"3299",630
"138","México",106,"Toluca",1,"3301",1844
"139","México",106,"Toluca",1,"3316",668
"140","México",106,"Toluca",1,"3320",1007
"141","México",106,"Toluca",1,"3335",912
"142","México",106,"Toluca",1,"334A",914
"143","México",106,"Toluca",1,"3354",1187
"144","México",106,"Toluca",1,"3369",1056
"145","México",106,"Toluca",1,"3373",974
"146","México",106,"Toluca",1,"3388",874
"147","México",106,"Toluca",1,"3392",91
"148","México",106,"Toluca",1,"3405",201
"149","México",106,"Toluca",1,"341A",188
"150","México",106,"Toluca",1,"3424",75
"151","México",106,"Toluca",1,"3496",1215
"152","México",106,"Toluca",1,"3532",173
"153","México",106,"Toluca",1,"3547",222
"154","México",106,"Toluca",1,"3551",637
"155","México",106,"Toluca",1,"3566",577
"156","México",106,"Toluca",1,"3570",335
"157","México",106,"Toluca",1,"3585",340
"158","México",106,"Toluca",1,"366A",28
"159","México",106,"Toluca",1,"3674",65
"160","México",106,"Toluca",1,"3693",42
"161","México",106,"Toluca",1,"3706",252
"162","México",106,"Toluca",1,"3710",865
"163","México",106,"Toluca",1,"3763",176
"164","México",106,"Toluca",43,"1729",1630
"165","México",106,"Toluca",43,"1733",1468
"166","México",106,"Toluca",43,"2820",104
"167","México",106,"Toluca",43,"2962",101
"168","México",106,"Toluca",43,"359A",177
"169","México",106,"Toluca",44,"1748",1087
"170","México",106,"Toluca",44,"1752",1174
"171","México",106,"Toluca",44,"2765",210
"172","México",106,"Toluca",44,"2996",3
"173","México",106,"Toluca",44,"3000",18
"174","México",106,"Toluca",50,"1184",1901
"175","México",106,"Toluca",50,"2708",109
"176","México",106,"Toluca",50,"3015",53
"177","México",106,"Toluca",50,"3513",236
"178","México",106,"Toluca",50,"3636",165
"179","México",106,"Toluca",51,"2731",689
"180","México",106,"Toluca",51,"2746",1142
